Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
20,0.0,0.0,1.0,302.0,302.0,11.0,151.0,0.5,,,0.0,25.762799978256226,,,,,,,,,,,,,,,,,,,,,4.945198629427131,2.6037089821583854,9.057724476230359,0.8240366986137398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,0.0,1.0,326.0,326.0,12.0,163.0,0.5,,,0.0,27.336715698242188,,,,,,,,,,,,,,,,,,,,,5.783341596801532,3.0591247990642874,10.645898778173942,0.8953947928754273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0,0.0,1.0,334.0,334.0,4.0,167.0,0.5,,,0.0,28.44018578529358,,,,,,,,,,,,,,,,,,,,,2.402295605812067,1.0721329798585806,3.8398422865157196,0.9629649977583555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,0.0,1.0,342.0,342.0,4.0,171.0,0.5,,,0.0,29.583975076675415,,,,,,,,,,,,,,,,,,,,,2.0909199701619174,0.9329715271272381,3.341895964120628,0.8384264010944079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,0.0,1.0,352.0,352.0,5.0,176.0,0.5,,,0.0,30.730897903442383,,,,,,,,,,,,,,,,,,,,,2.6966153830646893,1.2671711785215205,4.486760176677332,0.9025005019525382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,0.0,1.0,360.0,360.0,4.0,180.0,0.5,,,0.0,31.773386478424072,,,,,,,,,,,,,,,,,,,,,2.15289445493272,0.9607076038951395,3.440989337466582,0.8630949247403048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,0.0,1.0,384.0,384.0,12.0,192.0,0.5,,,0.0,33.28998827934265,,,,,,,,,,,,,,,,,,,,,5.419800892164975,2.8558894183813535,9.950480858922708,0.8458281165992353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0,0.0,1.0,394.0,394.0,5.0,197.0,0.5,,,0.0,34.49991416931152,,,,,,,,,,,,,,,,,,,,,2.590601261271124,1.2190759948424614,4.313251126456753,0.8652356103127185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0,0.0,1.0,404.0,404.0,5.0,202.0,0.5,,,0.0,35.716713190078735,,,,,,,,,,,,,,,,,,,,,2.5327431802470195,1.192197917116884,4.218280991395097,0.8460733367848341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0,0.0,1.0,414.0,414.0,5.0,207.0,0.5,,,0.0,36.875568151474,,,,,,,,,,,,,,,,,,,,,2.745450509578493,1.2939459204016353,4.5750292992199615,0.9152023630416382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,0.0,1.0,422.0,422.0,4.0,211.0,0.5,,,0.0,37.99379324913025,,,,,,,,,,,,,,,,,,,,,2.1411634212335873,0.9571062549319889,3.4250742550944286,0.8568792952112882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0,0.0,1.0,444.0,444.0,11.0,222.0,0.5,,,0.0,39.37697625160217,,,,,,,,,,,,,,,,,,,,,5.815252986228113,3.0597217538482266,10.646361988550066,0.9721148666180712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0,0.0,1.0,466.0,466.0,11.0,233.0,0.5,,,0.0,41.07908511161804,,,,,,,,,,,,,,,,,,,,,5.379878791217222,2.8298850367496313,9.846380401462227,0.8993999215429592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0,0.0,1.0,508.0,508.0,21.0,254.0,0.5,,,0.0,43.06056189537048,,,,,,,,,,,,,,,,,,,,,9.800539675972098,5.439244384514065,18.809346301675912,0.8750878345578876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.0,0.0,1.0,526.0,526.0,9.0,263.0,0.5,,,0.0,44.4089252948761,,,,,,,,,,,,,,,,,,,,,4.911018947687449,2.5330948513841247,8.833043057343083,0.9842123153044049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0,0.0,1.0,538.0,538.0,6.0,269.0,0.5,,,0.0,45.62887382507324,,,,,,,,,,,,,,,,,,,,,2.8588089466973226,1.3930305956368088,4.896559058702914,0.8182502684435797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.0,0.0,1.0,556.0,556.0,9.0,278.0,0.5,,,0.0,47.04543471336365,,,,,,,,,,,,,,,,,,,,,4.063629312749365,2.097318273743327,7.310040119682361,0.8130511497539846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.0,0.0,1.0,574.0,574.0,9.0,287.0,0.5,,,0.0,48.377883195877075,,,,,,,,,,,,,,,,,,,,,4.306714354521349,2.217498412673472,7.736911340460751,0.8658014611045429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0,0.0,1.0,590.0,590.0,8.0,295.0,0.5,,,0.0,49.75096344947815,,,,,,,,,,,,,,,,,,,,,4.267060118271164,2.171307525122175,7.581556319882624,0.9486648333253876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.0,0.0,1.0,620.0,620.0,15.0,310.0,0.5,,,0.0,51.28806972503662,,,,,,,,,,,,,,,,,,,,,7.191264533889381,3.8631422271272204,13.433049853410342,0.9082062521402269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.0,0.0,1.0,638.0,638.0,9.0,319.0,0.5,,,0.0,52.337557315826416,,,,,,,,,,,,,,,,,,,,,3.9775158205802135,2.052627304917177,7.156712006752574,0.7964199120297172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.0,0.0,1.0,650.0,650.0,6.0,325.0,0.5,,,0.0,53.33587956428528,,,,,,,,,,,,,,,,,,,,,2.8791916887505806,1.4029341979130405,4.931230620555773,0.8239607101984078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.0,0.0,1.0,666.0,666.0,8.0,333.0,0.5,,,0.0,54.373268842697144,,,,,,,,,,,,,,,,,,,,,4.3861756250722586,2.22858891313935,7.785887654943962,0.9772928478041958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0,0.0,1.0,676.0,676.0,5.0,338.0,0.5,,,0.0,55.39807653427124,,,,,,,,,,,,,,,,,,,,,2.9557282743685938,1.393741202317138,4.926759573615934,0.9847972152102814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.0,0.0,1.0,692.0,692.0,8.0,346.0,0.5,,,0.0,56.464475870132446,,,,,,,,,,,,,,,,,,,,,3.8616410693037695,1.9605726209148222,6.852117326723391,0.8614589873873896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.0,0.0,1.0,710.0,710.0,9.0,355.0,0.5,,,0.0,57.60720729827881,,,,,,,,,,,,,,,,,,,,,4.967672449180868,2.5658710730660013,8.939731053579337,0.9920648063743056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0,0.0,1.0,718.0,718.0,4.0,359.0,0.5,,,0.0,58.54205918312073,,,,,,,,,,,,,,,,,,,,,2.3179628812294157,1.0370370122806172,3.7092581548159558,0.926639650801181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
